urls,filename,resolution,variable,model,szenario,time
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp126/wc2.1_10m_tmin_ACCESS-CM2_ssp126_2021-2040.tif,wc2.1_10m_tmin_ACCESS-CM2_ssp126_2021-2040.tif,1_10m,tmin,ACCESS-CM2,ssp126,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp126/wc2.1_10m_tmax_ACCESS-CM2_ssp126_2021-2040.tif,wc2.1_10m_tmax_ACCESS-CM2_ssp126_2021-2040.tif,1_10m,tmax,ACCESS-CM2,ssp126,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp126/wc2.1_10m_prec_ACCESS-CM2_ssp126_2021-2040.tif,wc2.1_10m_prec_ACCESS-CM2_ssp126_2021-2040.tif,1_10m,prec,ACCESS-CM2,ssp126,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp126/wc2.1_10m_bioc_ACCESS-CM2_ssp126_2021-2040.tif,wc2.1_10m_bioc_ACCESS-CM2_ssp126_2021-2040.tif,1_10m,bioc,ACCESS-CM2,ssp126,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp245/wc2.1_10m_tmin_ACCESS-CM2_ssp245_2021-2040.tif,wc2.1_10m_tmin_ACCESS-CM2_ssp245_2021-2040.tif,1_10m,tmin,ACCESS-CM2,ssp245,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp245/wc2.1_10m_tmax_ACCESS-CM2_ssp245_2021-2040.tif,wc2.1_10m_tmax_ACCESS-CM2_ssp245_2021-2040.tif,1_10m,tmax,ACCESS-CM2,ssp245,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp245/wc2.1_10m_prec_ACCESS-CM2_ssp245_2021-2040.tif,wc2.1_10m_prec_ACCESS-CM2_ssp245_2021-2040.tif,1_10m,prec,ACCESS-CM2,ssp245,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp245/wc2.1_10m_bioc_ACCESS-CM2_ssp245_2021-2040.tif,wc2.1_10m_bioc_ACCESS-CM2_ssp245_2021-2040.tif,1_10m,bioc,ACCESS-CM2,ssp245,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp370/wc2.1_10m_tmin_ACCESS-CM2_ssp370_2021-2040.tif,wc2.1_10m_tmin_ACCESS-CM2_ssp370_2021-2040.tif,1_10m,tmin,ACCESS-CM2,ssp370,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp370/wc2.1_10m_tmax_ACCESS-CM2_ssp370_2021-2040.tif,wc2.1_10m_tmax_ACCESS-CM2_ssp370_2021-2040.tif,1_10m,tmax,ACCESS-CM2,ssp370,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp370/wc2.1_10m_prec_ACCESS-CM2_ssp370_2021-2040.tif,wc2.1_10m_prec_ACCESS-CM2_ssp370_2021-2040.tif,1_10m,prec,ACCESS-CM2,ssp370,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp370/wc2.1_10m_bioc_ACCESS-CM2_ssp370_2021-2040.tif,wc2.1_10m_bioc_ACCESS-CM2_ssp370_2021-2040.tif,1_10m,bioc,ACCESS-CM2,ssp370,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp585/wc2.1_10m_tmin_ACCESS-CM2_ssp585_2021-2040.tif,wc2.1_10m_tmin_ACCESS-CM2_ssp585_2021-2040.tif,1_10m,tmin,ACCESS-CM2,ssp585,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp585/wc2.1_10m_tmax_ACCESS-CM2_ssp585_2021-2040.tif,wc2.1_10m_tmax_ACCESS-CM2_ssp585_2021-2040.tif,1_10m,tmax,ACCESS-CM2,ssp585,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp585/wc2.1_10m_prec_ACCESS-CM2_ssp585_2021-2040.tif,wc2.1_10m_prec_ACCESS-CM2_ssp585_2021-2040.tif,1_10m,prec,ACCESS-CM2,ssp585,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-CM2/ssp585/wc2.1_10m_bioc_ACCESS-CM2_ssp585_2021-2040.tif,wc2.1_10m_bioc_ACCESS-CM2_ssp585_2021-2040.tif,1_10m,bioc,ACCESS-CM2,ssp585,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-ESM1-5/ssp126/wc2.1_10m_tmin_ACCESS-ESM1-5_ssp126_2021-2040.tif,wc2.1_10m_tmin_ACCESS-ESM1-5_ssp126_2021-2040.tif,1_10m,tmin,ACCESS-ESM1-5,ssp126,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-ESM1-5/ssp126/wc2.1_10m_tmax_ACCESS-ESM1-5_ssp126_2021-2040.tif,wc2.1_10m_tmax_ACCESS-ESM1-5_ssp126_2021-2040.tif,1_10m,tmax,ACCESS-ESM1-5,ssp126,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-ESM1-5/ssp126/wc2.1_10m_prec_ACCESS-ESM1-5_ssp126_2021-2040.tif,wc2.1_10m_prec_ACCESS-ESM1-5_ssp126_2021-2040.tif,1_10m,prec,ACCESS-ESM1-5,ssp126,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-ESM1-5/ssp126/wc2.1_10m_bioc_ACCESS-ESM1-5_ssp126_2021-2040.tif,wc2.1_10m_bioc_ACCESS-ESM1-5_ssp126_2021-2040.tif,1_10m,bioc,ACCESS-ESM1-5,ssp126,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-ESM1-5/ssp245/wc2.1_10m_tmin_ACCESS-ESM1-5_ssp245_2021-2040.tif,wc2.1_10m_tmin_ACCESS-ESM1-5_ssp245_2021-2040.tif,1_10m,tmin,ACCESS-ESM1-5,ssp245,2021-2040
https://geodata.ucdavis.edu/cmip6/10m/ACCESS-ESM1-5/ssp245/wc2.1_10m_tmax_ACCESS-ESM1-5_ssp245_2021-2040.tif,wc2.1_10m_tmax_ACCESS-ESM1-5_ssp245_2021-2040.tif,1_10m,tmax,ACCESS-ESM1-5,ssp245,2021-2040
