Crop,Characteristic,S1 Top Range,S1 Top Value,S1 Bottom Range,S1 Bottom Value,S2 Top Range,S2 Top Value,S2 Bottom Range,S2 Bottom Value,S3 Top Range,S3 Top Value,S3 Bottom Range,S3 Bottom Value,N Top Range,N Top Value,N Bottom Range,N Bottom Value
"blackpepper","min. monthly precipitation","gleich","999'999.00","gleich","100.00","kleiner","100.00","gleich","90.00","kleiner","90.00","gleich","60.00","kleiner","60.00","gleich","0.00"
"blackpepper","pH","gleich","7.00","gleich","5.00","gleich","7.50","grösser","7.00","gleich","8.50","grösser","7.50","gleich","14.00","grösser","8.50"
"blackpepper","mean min. temp of the coldest month","gleich","99'999.00","gleich","7.50","","","","","","","","","kleiner","7.50","gleich","-999'999.00"
"blackpepper","slope","gleich","8.00","gleich","0.00","gleich","16.00","grösser","8.00","gleich","30.00","grösser","16.00","gleich","999'999.00","grösser","30.00"
"blackpepper","pH","","","","","kleiner","5.00","gleich","4.00","kleiner","4.00","gleich","3.50","kleiner","3.50","gleich","0.00"
"blackpepper","mean max. temp of the warmest month","gleich","40.00","gleich","-999'999.00","","","","","","","","","gleich","999'999.00","grösser","40.00"
"blackpepper","annual precipitation","gleich","3'000.00","gleich","2'000.00","gleich","4'000.00","grösser","3'000.00","gleich","5'500.00","grösser","4'000.00","gleich","999'999.00","grösser","5'500.00"
"blackpepper","mean annual temperature","gleich","32.00","gleich","23.00","gleich","34.00","grösser","32.00","gleich","35.00","grösser","34.00","gleich","999'999.00","grösser","35.00"
"blackpepper","mean annual temperature","","","","","kleiner","23.00","gleich","20.00","kleiner","20.00","gleich","15.00","kleiner","15.00","gleich","-999'999.00"
"blackpepper","length of dry season","gleich","2.00","gleich","0.00","gleich","3.00","grösser","2.00","gleich","4.00","grösser","3.00","gleich","12.00","grösser","4.00"
"blackpepper","annual precipitation","","","","","kleiner","2'000.00","gleich","1'800.00","kleiner","1'800.00","gleich","1'500.00","kleiner","1'500.00","gleich","0.00"
"blackpepper","average annual relative humidity","gleich","95.00","gleich","60.00","kleiner","60.00","gleich","55.00","kleiner","55.00","gleich","50.00","kleiner","50.00","gleich","0.00"
"blackpepper","average annual relative humidity","","","","","gleich","100.00","grösser","95.00","","","","","","","",""
