Characteristic,Characteristic_i,Optimum,variable,reclass_string,gcm,ssp,period,file
annual precipitation,1,TRUE,bio12,(A>=2000)*(A<3000)*1 + (A>=3000)*(A<4000)*2 + (A>=4000)*(A<5500)*3 + (A>=5500)*(A<999999)*4,not-applicable,not-applicable,1981-2010,data-chelsa/CHELSA_bio12_1981-2010_V.2.1.tif
annual precipitation,1,TRUE,bio12,(A>=2000)*(A<3000)*1 + (A>=3000)*(A<4000)*2 + (A>=4000)*(A<5500)*3 + (A>=5500)*(A<999999)*4,gfdl-esm4,ssp126,2011-2040,data-chelsa/CHELSA_bio12_2011-2040_gfdl-esm4_ssp126_V.2.1.tif
annual precipitation,1,TRUE,bio12,(A>=2000)*(A<3000)*1 + (A>=3000)*(A<4000)*2 + (A>=4000)*(A<5500)*3 + (A>=5500)*(A<999999)*4,gfdl-esm4,ssp370,2011-2040,data-chelsa/CHELSA_bio12_2011-2040_gfdl-esm4_ssp370_V.2.1.tif
annual precipitation,1,TRUE,bio12,(A>=2000)*(A<3000)*1 + (A>=3000)*(A<4000)*2 + (A>=4000)*(A<5500)*3 + (A>=5500)*(A<999999)*4,gfdl-esm4,ssp585,2011-2040,data-chelsa/CHELSA_bio12_2011-2040_gfdl-esm4_ssp585_V.2.1.tif
annual precipitation,1,TRUE,bio12,(A>=2000)*(A<3000)*1 + (A>=3000)*(A<4000)*2 + (A>=4000)*(A<5500)*3 + (A>=5500)*(A<999999)*4,ipsl-cm6a-lr,ssp126,2011-2040,data-chelsa/CHELSA_bio12_2011-2040_ipsl-cm6a-lr_ssp126_V.2.1.tif
annual precipitation,1,TRUE,bio12,(A>=2000)*(A<3000)*1 + (A>=3000)*(A<4000)*2 + (A>=4000)*(A<5500)*3 + (A>=5500)*(A<999999)*4,ipsl-cm6a-lr,ssp370,2011-2040,data-chelsa/CHELSA_bio12_2011-2040_ipsl-cm6a-lr_ssp370_V.2.1.tif
annual precipitation,1,TRUE,bio12,(A>=2000)*(A<3000)*1 + (A>=3000)*(A<4000)*2 + (A>=4000)*(A<5500)*3 + (A>=5500)*(A<999999)*4,ipsl-cm6a-lr,ssp585,2011-2040,data-chelsa/CHELSA_bio12_2011-2040_ipsl-cm6a-lr_ssp585_V.2.1.tif
annual precipitation,1,TRUE,bio12,(A>=2000)*(A<3000)*1 + (A>=3000)*(A<4000)*2 + (A>=4000)*(A<5500)*3 + (A>=5500)*(A<999999)*4,mpi-esm1-2-hr,ssp126,2011-2040,data-chelsa/CHELSA_bio12_2011-2040_mpi-esm1-2-hr_ssp126_V.2.1.tif
annual precipitation,1,TRUE,bio12,(A>=2000)*(A<3000)*1 + (A>=3000)*(A<4000)*2 + (A>=4000)*(A<5500)*3 + (A>=5500)*(A<999999)*4,mpi-esm1-2-hr,ssp370,2011-2040,data-chelsa/CHELSA_bio12_2011-2040_mpi-esm1-2-hr_ssp370_V.2.1.tif
annual precipitation,1,TRUE,bio12,(A>=2000)*(A<3000)*1 + (A>=3000)*(A<4000)*2 + (A>=4000)*(A<5500)*3 + (A>=5500)*(A<999999)*4,mpi-esm1-2-hr,ssp585,2011-2040,data-chelsa/CHELSA_bio12_2011-2040_mpi-esm1-2-hr_ssp585_V.2.1.tif
