Characteristic,Characteristic_i,Optimum,variable,reclass_string,gcm,ssp,period,file,outname
annual precipitation,1,TRUE,bio12,(A>=2000)*(A<3000)*1 + (A>=3000)*(A<4000)*2 + (A>=4000)*(A<5500)*3 + (A>=5500)*(A<999999)*4,not-applicable,not-applicable,1981-2010,data-raw/chelsa/CHELSA_bio12_1981-2010_V.2.1.tif,annual-precipitation-1
annual precipitation,1,TRUE,bio12,(A>=2000)*(A<3000)*1 + (A>=3000)*(A<4000)*2 + (A>=4000)*(A<5500)*3 + (A>=5500)*(A<999999)*4,mpi-esm1-2-hr,ssp585,2071-2100,data-raw/chelsa/CHELSA_bio12_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1.tif,annual-precipitation-1
annual precipitation,2,FALSE,bio12,(A>=0)*(A<1500)*4 + (A>=1500)*(A<1800)*3 + (A>=1800)*(A<2000)*2,not-applicable,not-applicable,1981-2010,data-raw/chelsa/CHELSA_bio12_1981-2010_V.2.1.tif,annual-precipitation-2
annual precipitation,2,FALSE,bio12,(A>=0)*(A<1500)*4 + (A>=1500)*(A<1800)*3 + (A>=1800)*(A<2000)*2,mpi-esm1-2-hr,ssp585,2071-2100,data-raw/chelsa/CHELSA_bio12_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1.tif,annual-precipitation-2
average annual relative humidity,1,TRUE,humidity,(A>=0)*(A<5000)*4 + (A>=5000)*(A<5500)*3 + (A>=5500)*(A<6000)*2 + (A>=6000)*(A<9500)*1,not-applicable,not-applicable,not-applicable,data-raw/chelsa/CHELSA_hurs_mean_1981-2010_V.2.1.tif,average-annual-relative-humidity-1
average annual relative humidity,2,FALSE,humidity,(A>=9500)*(A<10000)*2,not-applicable,not-applicable,not-applicable,data-raw/chelsa/CHELSA_hurs_mean_1981-2010_V.2.1.tif,average-annual-relative-humidity-2
mean annual temperature,1,TRUE,bio1,(A>=2961.5)*(A<3051.5)*1 + (A>=3051.5)*(A<3071.5)*2 + (A>=3071.5)*(A<3081.5)*3 + (A>=3081.5)*(A<10002721.5)*4,not-applicable,not-applicable,1981-2010,data-raw/chelsa/CHELSA_bio1_1981-2010_V.2.1.tif,mean-annual-temperature-1
mean annual temperature,1,TRUE,bio1,(A>=2961.5)*(A<3051.5)*1 + (A>=3051.5)*(A<3071.5)*2 + (A>=3071.5)*(A<3081.5)*3 + (A>=3081.5)*(A<10002721.5)*4,mpi-esm1-2-hr,ssp585,2071-2100,data-raw/chelsa/CHELSA_bio1_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1.tif,mean-annual-temperature-1
mean annual temperature,2,FALSE,bio1,(A>=-9997258.5)*(A<2881.5)*4 + (A>=2881.5)*(A<2931.5)*3 + (A>=2931.5)*(A<2961.5)*2,not-applicable,not-applicable,1981-2010,data-raw/chelsa/CHELSA_bio1_1981-2010_V.2.1.tif,mean-annual-temperature-2
mean annual temperature,2,FALSE,bio1,(A>=-9997258.5)*(A<2881.5)*4 + (A>=2881.5)*(A<2931.5)*3 + (A>=2931.5)*(A<2961.5)*2,mpi-esm1-2-hr,ssp585,2071-2100,data-raw/chelsa/CHELSA_bio1_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1.tif,mean-annual-temperature-2
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-9997258.5)*(A<3131.5)*1 + (A>=3131.5)*(A<10002721.5)*4,not-applicable,not-applicable,1981-2010,data-raw/chelsa/CHELSA_bio5_1981-2010_V.2.1.tif,mean-max-temp-of-the-warmest-month-1
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-9997258.5)*(A<3131.5)*1 + (A>=3131.5)*(A<10002721.5)*4,mpi-esm1-2-hr,ssp585,2071-2100,data-raw/chelsa/CHELSA_bio5_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1.tif,mean-max-temp-of-the-warmest-month-1
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-9997258.5)*(A<2806.5)*4 + (A>=2806.5)*(A<1002721.5)*1,not-applicable,not-applicable,1981-2010,data-raw/chelsa/CHELSA_bio6_1981-2010_V.2.1.tif,mean-min-temp-of-the-coldest-month-1
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-9997258.5)*(A<2806.5)*4 + (A>=2806.5)*(A<1002721.5)*1,mpi-esm1-2-hr,ssp585,2071-2100,data-raw/chelsa/CHELSA_bio6_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1.tif,mean-min-temp-of-the-coldest-month-1
min. monthly precipitation,1,TRUE,bio14,(A>=NA)*(A<NA)*1 + (A>=NA)*(A<NA)*2 + (A>=NA)*(A<NA)*3 + (A>=NA)*(A<NA)*4,not-applicable,not-applicable,1981-2010,data-raw/chelsa/CHELSA_bio14_1981-2010_V.2.1.tif,min-monthly-precipitation-1
min. monthly precipitation,1,TRUE,bio14,(A>=NA)*(A<NA)*1 + (A>=NA)*(A<NA)*2 + (A>=NA)*(A<NA)*3 + (A>=NA)*(A<NA)*4,mpi-esm1-2-hr,ssp585,2071-2100,data-raw/chelsa/CHELSA_bio14_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1.tif,min-monthly-precipitation-1
pH,1,TRUE,ph,(A>=50)*(A<70)*1 + (A>=70)*(A<75)*2 + (A>=75)*(A<85)*3 + (A>=85)*(A<140)*4,not-applicable,not-applicable,not-applicable,data-raw/phh20/phh2o_5-15cm_mean_alinged.tif,pH-1
pH,2,FALSE,ph,(A>=0)*(A<35)*4 + (A>=35)*(A<40)*3 + (A>=40)*(A<50)*2,not-applicable,not-applicable,not-applicable,data-raw/phh20/phh2o_5-15cm_mean_alinged.tif,pH-2
slope,1,TRUE,slope,(A>=0)*(A<8)*1 + (A>=8)*(A<16)*2 + (A>=16)*(A<30)*3 + (A>=30)*(A<999999)*4,not-applicable,not-applicable,not-applicable,data-raw/elevation/wc2.1_30s_elev_slope.tif,slope-1
