filename,gcm,ssp,variable,month,period,path
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_01_2011_2040_norm.tif,gfdl-esm4,ssp126,pr,01,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_02_2011_2040_norm.tif,gfdl-esm4,ssp126,pr,02,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_03_2011_2040_norm.tif,gfdl-esm4,ssp126,pr,03,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_04_2011_2040_norm.tif,gfdl-esm4,ssp126,pr,04,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_05_2011_2040_norm.tif,gfdl-esm4,ssp126,pr,05,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_06_2011_2040_norm.tif,gfdl-esm4,ssp126,pr,06,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_07_2011_2040_norm.tif,gfdl-esm4,ssp126,pr,07,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_08_2011_2040_norm.tif,gfdl-esm4,ssp126,pr,08,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_09_2011_2040_norm.tif,gfdl-esm4,ssp126,pr,09,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_10_2011_2040_norm.tif,gfdl-esm4,ssp126,pr,10,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_11_2011_2040_norm.tif,gfdl-esm4,ssp126,pr,11,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_12_2011_2040_norm.tif,gfdl-esm4,ssp126,pr,12,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_01_2041_2070_norm.tif,gfdl-esm4,ssp126,pr,01,2041_2070,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_02_2041_2070_norm.tif,gfdl-esm4,ssp126,pr,02,2041_2070,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_03_2041_2070_norm.tif,gfdl-esm4,ssp126,pr,03,2041_2070,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_04_2041_2070_norm.tif,gfdl-esm4,ssp126,pr,04,2041_2070,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_05_2041_2070_norm.tif,gfdl-esm4,ssp126,pr,05,2041_2070,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_06_2041_2070_norm.tif,gfdl-esm4,ssp126,pr,06,2041_2070,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_07_2041_2070_norm.tif,gfdl-esm4,ssp126,pr,07,2041_2070,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_08_2041_2070_norm.tif,gfdl-esm4,ssp126,pr,08,2041_2070,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_09_2041_2070_norm.tif,gfdl-esm4,ssp126,pr,09,2041_2070,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_10_2041_2070_norm.tif,gfdl-esm4,ssp126,pr,10,2041_2070,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_11_2041_2070_norm.tif,gfdl-esm4,ssp126,pr,11,2041_2070,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp126_pr_12_2041_2070_norm.tif,gfdl-esm4,ssp126,pr,12,2041_2070,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_01_2011_2040_norm.tif,gfdl-esm4,ssp370,pr,01,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_02_2011_2040_norm.tif,gfdl-esm4,ssp370,pr,02,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_03_2011_2040_norm.tif,gfdl-esm4,ssp370,pr,03,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_04_2011_2040_norm.tif,gfdl-esm4,ssp370,pr,04,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_05_2011_2040_norm.tif,gfdl-esm4,ssp370,pr,05,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_06_2011_2040_norm.tif,gfdl-esm4,ssp370,pr,06,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_07_2011_2040_norm.tif,gfdl-esm4,ssp370,pr,07,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_08_2011_2040_norm.tif,gfdl-esm4,ssp370,pr,08,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_09_2011_2040_norm.tif,gfdl-esm4,ssp370,pr,09,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_10_2011_2040_norm.tif,gfdl-esm4,ssp370,pr,10,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_11_2011_2040_norm.tif,gfdl-esm4,ssp370,pr,11,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_12_2011_2040_norm.tif,gfdl-esm4,ssp370,pr,12,2011_2040,data-raw/chelsa
CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp370_pr_01_2041_2070_norm.tif,gfdl-esm4,ssp370,pr,01,2041_2070,data-raw/chelsa
