urls,filename,variable,model,szenario,time
https://geodata.ucdavis.edu/cmip6/30s/ACCESS-CM2/ssp126/wc2.1_30s_tmin_ACCESS-CM2_ssp126_2021-2040.tif,wc2.1_30s_tmin_ACCESS-CM2_ssp126_2021-2040.tif,tmin,ACCESS-CM2,ssp126,2021-2040
https://geodata.ucdavis.edu/cmip6/30s/ACCESS-CM2/ssp126/wc2.1_30s_tmax_ACCESS-CM2_ssp126_2021-2040.tif,wc2.1_30s_tmax_ACCESS-CM2_ssp126_2021-2040.tif,tmax,ACCESS-CM2,ssp126,2021-2040
https://geodata.ucdavis.edu/cmip6/30s/ACCESS-CM2/ssp126/wc2.1_30s_prec_ACCESS-CM2_ssp126_2021-2040.tif,wc2.1_30s_prec_ACCESS-CM2_ssp126_2021-2040.tif,prec,ACCESS-CM2,ssp126,2021-2040
https://geodata.ucdavis.edu/cmip6/30s/ACCESS-CM2/ssp126/wc2.1_30s_bioc_ACCESS-CM2_ssp126_2021-2040.tif,wc2.1_30s_bioc_ACCESS-CM2_ssp126_2021-2040.tif,bioc,ACCESS-CM2,ssp126,2021-2040
https://geodata.ucdavis.edu/cmip6/30s/ACCESS-CM2/ssp245/wc2.1_30s_tmin_ACCESS-CM2_ssp245_2021-2040.tif,wc2.1_30s_tmin_ACCESS-CM2_ssp245_2021-2040.tif,tmin,ACCESS-CM2,ssp245,2021-2040
https://geodata.ucdavis.edu/cmip6/30s/ACCESS-CM2/ssp245/wc2.1_30s_tmax_ACCESS-CM2_ssp245_2021-2040.tif,wc2.1_30s_tmax_ACCESS-CM2_ssp245_2021-2040.tif,tmax,ACCESS-CM2,ssp245,2021-2040
https://geodata.ucdavis.edu/cmip6/30s/ACCESS-CM2/ssp245/wc2.1_30s_prec_ACCESS-CM2_ssp245_2021-2040.tif,wc2.1_30s_prec_ACCESS-CM2_ssp245_2021-2040.tif,prec,ACCESS-CM2,ssp245,2021-2040
https://geodata.ucdavis.edu/cmip6/30s/ACCESS-CM2/ssp245/wc2.1_30s_bioc_ACCESS-CM2_ssp245_2021-2040.tif,wc2.1_30s_bioc_ACCESS-CM2_ssp245_2021-2040.tif,bioc,ACCESS-CM2,ssp245,2021-2040
https://geodata.ucdavis.edu/cmip6/30s/ACCESS-CM2/ssp370/wc2.1_30s_tmin_ACCESS-CM2_ssp370_2021-2040.tif,wc2.1_30s_tmin_ACCESS-CM2_ssp370_2021-2040.tif,tmin,ACCESS-CM2,ssp370,2021-2040
https://geodata.ucdavis.edu/cmip6/30s/ACCESS-CM2/ssp370/wc2.1_30s_tmax_ACCESS-CM2_ssp370_2021-2040.tif,wc2.1_30s_tmax_ACCESS-CM2_ssp370_2021-2040.tif,tmax,ACCESS-CM2,ssp370,2021-2040
